pid,name,role,first_seen_s,peak_rss_mb,cmdline
9688,python.exe,worker,32.4,5248.0,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1896) --multiprocessing-fork"
73544,python.exe,worker,32.4,5242.6,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1312) --multiprocessing-fork"
24740,python.exe,worker,32.4,5238.8,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1780) --multiprocessing-fork"
57128,python.exe,worker,32.4,5235.4,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1652) --multiprocessing-fork"
19860,python.exe,worker,32.4,5233.0,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1288) --multiprocessing-fork"
57848,python.exe,worker,32.4,5232.4,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1500) --multiprocessing-fork"
60392,python.exe,worker,32.4,5219.3,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1752) --multiprocessing-fork"
45264,python.exe,worker,32.4,5214.8,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1720) --multiprocessing-fork"
20588,python.exe,worker,32.4,5199.3,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1628) --multiprocessing-fork"
48176,python.exe,worker,32.4,5198.4,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1468) --multiprocessing-fork"
17472,python.exe,worker,32.4,5194.0,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1552) --multiprocessing-fork"
16904,python.exe,worker,32.4,5188.8,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1472) --multiprocessing-fork"
57984,python.exe,worker,32.4,5177.7,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1224) --multiprocessing-fork"
19244,python.exe,worker,32.4,5176.2,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1372) --multiprocessing-fork"
51184,python.exe,worker,32.4,5164.1,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1428) --multiprocessing-fork"
14456,python.exe,worker,32.4,5158.6,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1188) --multiprocessing-fork"
57972,python.exe,worker,32.4,5150.6,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1248) --multiprocessing-fork"
60676,python.exe,worker,32.4,5148.4,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1256) --multiprocessing-fork"
18852,python.exe,worker,32.4,5145.5,"C:\Users\ml673\AppData\Local\anaconda3\envs\seasound\python.exe -c from multiprocessing.spawn import spawn_main; spawn_main(parent_pid=57656, pipe_handle=1656) --multiprocessing-fork"
